Anodizado
Fecha: 24-Sep-2018 11:46:11
Tensión	Corriente
6.000000e+001	1.112700e-002
6.000000e+001	1.080540e-002
6.000000e+001	1.062780e-002
6.000000e+001	1.046900e-002
6.000000e+001	1.031660e-002
6.000000e+001	1.017090e-002
6.000000e+001	1.003700e-002
6.000000e+001	9.877650e-003
6.000000e+001	9.745850e-003
6.000000e+001	9.621550e-003
6.000000e+001	9.502430e-003
6.000000e+001	9.382280e-003
6.000000e+001	9.267200e-003
6.000000e+001	9.153120e-003
6.000000e+001	9.043980e-003
6.000000e+001	8.935050e-003
6.000000e+001	8.830170e-003
6.000000e+001	8.681260e-003
6.000000e+001	8.584610e-003
6.000000e+001	8.481070e-003
6.000000e+001	8.393220e-003
6.000000e+001	8.296580e-003
6.000000e+001	8.205740e-003
6.000000e+001	8.116970e-003
6.000000e+001	8.034530e-003
6.000000e+001	7.951830e-003
6.000000e+001	7.867150e-003
6.000000e+001	7.787280e-003
6.000000e+001	7.705110e-003
6.000000e+001	7.628270e-003
6.000000e+001	7.553960e-003
6.000000e+001	7.475320e-003
6.000000e+001	7.400270e-003
6.000000e+001	7.302190e-003
6.000000e+001	7.232970e-003
6.000000e+001	7.163370e-003
6.000000e+001	7.101560e-003
6.000000e+001	7.033640e-003
6.000000e+001	6.967410e-003
6.000000e+001	6.912800e-003
6.000000e+001	6.850850e-003
6.000000e+001	6.794540e-003
6.000000e+001	6.735430e-003
6.000000e+001	6.683060e-003
6.000000e+001	6.622760e-003
6.000000e+001	6.571480e-003
6.000000e+001	6.518480e-003
6.000000e+001	6.469090e-003
6.000000e+001	6.418290e-003
6.000000e+001	6.349800e-003
6.000000e+001	6.306990e-003
6.000000e+001	6.255390e-003
6.000000e+001	6.202540e-003
6.000000e+001	6.168560e-003
6.000000e+001	6.116120e-003
6.000000e+001	6.073450e-003
6.000000e+001	6.031960e-003
6.000000e+001	5.990310e-003
6.000000e+001	5.950120e-003
6.000000e+001	5.905430e-003
6.000000e+001	5.868580e-003
6.000000e+001	5.833410e-003
6.000000e+001	5.796950e-003
6.000000e+001	5.758390e-003
6.000000e+001	5.722720e-003
6.000000e+001	5.668370e-003
6.000000e+001	5.633290e-003
6.000000e+001	5.600980e-003
6.000000e+001	5.565990e-003
6.000000e+001	5.529260e-003
6.000000e+001	5.493970e-003
6.000000e+001	5.464990e-003
6.000000e+001	5.433260e-003
6.000000e+001	5.402040e-003
6.000000e+001	5.374510e-003
6.000000e+001	5.346050e-003
6.000000e+001	5.315520e-003
6.000000e+001	5.284120e-003
6.000000e+001	5.255590e-003
6.000000e+001	5.224370e-003
6.000000e+001	5.196490e-003
6.000000e+001	5.158090e-003
6.000000e+001	5.128190e-003
6.000000e+001	5.102900e-003
6.000000e+001	5.075870e-003
6.000000e+001	5.053360e-003
6.000000e+001	5.021730e-003
6.000000e+001	4.993640e-003
6.000000e+001	4.969780e-003
6.000000e+001	4.945580e-003
6.000000e+001	4.915190e-003
6.000000e+001	4.892590e-003
6.000000e+001	4.867380e-003
6.000000e+001	4.848340e-003
6.000000e+001	4.821930e-003
6.000000e+001	4.795180e-003
6.000000e+001	4.775320e-003
6.000000e+001	4.747990e-003
6.000000e+001	4.726310e-003
6.000000e+001	4.709280e-003
6.000000e+001	4.693730e-003
6.000000e+001	4.671500e-003
6.000000e+001	4.649680e-003
6.000000e+001	4.629070e-003
6.000000e+001	4.614540e-003
6.000000e+001	4.595870e-003
6.000000e+001	4.574410e-003
6.000000e+001	4.552080e-003
6.000000e+001	4.538020e-003
6.000000e+001	4.513290e-003
6.000000e+001	4.498040e-003
6.000000e+001	4.482450e-003
