Anodizado
Fecha: 08-Jan-2014 10:41:06
Tensión	Corriente
0.000000e+000	4.093740e-005
3.333333e-001	5.577960e-005
6.666667e-001	7.000580e-005
1.000000e+000	8.365790e-005
1.333333e+000	9.256890e-005
1.666667e+000	1.000630e-004
2.000000e+000	1.090000e-004
2.333333e+000	1.191300e-004
2.666667e+000	1.334640e-004
3.000000e+000	1.477990e-004
3.333333e+000	1.609880e-004
3.666667e+000	1.755290e-004
4.000000e+000	1.932780e-004
4.333333e+000	2.130900e-004
4.666667e+000	2.292740e-004
5.000000e+000	2.578800e-004
5.333333e+000	2.762660e-004
5.666667e+000	2.980750e-004
6.000000e+000	3.207150e-004
6.333333e+000	3.399190e-004
6.666667e+000	3.638530e-004
7.000000e+000	3.935550e-004
7.333333e+000	4.225800e-004
7.666667e+000	4.578510e-004
8.000000e+000	4.908840e-004
8.333333e+000	5.187110e-004
8.666667e+000	5.425860e-004
9.000000e+000	5.700990e-004
9.333333e+000	5.910800e-004
9.666667e+000	6.192300e-004
1.000000e+001	6.492330e-004
1.033333e+001	6.797460e-004
1.066667e+001	7.144870e-004
1.100000e+001	7.460590e-004
1.133333e+001	7.788860e-004
1.166667e+001	8.003840e-004
1.200000e+001	8.273530e-004
1.233333e+001	8.538060e-004
1.266667e+001	8.752210e-004
1.300000e+001	9.156260e-004
1.333333e+001	9.392960e-004
1.366667e+001	9.500670e-004
1.400000e+001	9.691700e-004
1.433333e+001	9.954360e-004
1.466667e+001	1.038520e-003
1.500000e+001	1.083920e-003
1.533333e+001	1.109140e-003
1.566667e+001	1.131100e-003
1.600000e+001	1.146920e-003
1.633333e+001	1.167810e-003
1.666667e+001	1.220900e-003
1.700000e+001	1.234580e-003
1.733333e+001	1.250390e-003
1.766667e+001	1.283450e-003
1.800000e+001	1.325500e-003
1.833333e+001	1.333620e-003
1.866667e+001	1.374230e-003
1.900000e+001	1.411380e-003
1.933333e+001	1.427410e-003
1.966667e+001	1.445720e-003
2.000000e+001	1.476860e-003
2.033333e+001	1.498960e-003
2.066667e+001	1.533710e-003
2.100000e+001	1.541950e-003
2.133333e+001	1.544820e-003
2.166667e+001	1.544350e-003
2.200000e+001	1.614250e-003
2.233333e+001	1.612420e-003
2.266667e+001	1.620760e-003
2.300000e+001	1.634770e-003
2.333333e+001	1.673230e-003
2.366667e+001	1.708970e-003
2.400000e+001	1.780540e-003
2.433333e+001	1.781640e-003
2.466667e+001	1.796810e-003
2.500000e+001	1.809210e-003
