Anodizado
Fecha: 06-Jan-2014 15:33:54
Tensión	Corriente
0.000000e+000	9.825050e-005
3.333333e-001	1.392520e-004
6.666667e-001	1.796300e-004
1.000000e+000	2.198150e-004
1.333333e+000	2.596000e-004
1.666667e+000	2.985690e-004
2.000000e+000	3.376380e-004
2.333333e+000	3.773400e-004
2.666667e+000	4.174410e-004
3.000000e+000	4.566600e-004
3.333333e+000	4.964500e-004
3.666667e+000	5.349260e-004
4.000000e+000	5.722800e-004
4.333333e+000	6.101840e-004
4.666667e+000	6.494590e-004
5.000000e+000	6.869370e-004
5.333333e+000	7.246880e-004
5.666667e+000	7.607200e-004
6.000000e+000	7.942070e-004
6.333333e+000	8.260370e-004
6.666667e+000	8.600190e-004
7.000000e+000	8.947710e-004
7.333333e+000	9.271880e-004
7.666667e+000	9.608570e-004
8.000000e+000	9.934410e-004
8.333333e+000	1.021740e-003
8.666667e+000	1.054690e-003
9.000000e+000	1.084830e-003
9.333333e+000	1.113780e-003
9.666667e+000	1.142610e-003
1.000000e+001	1.173920e-003
1.033333e+001	1.204120e-003
1.066667e+001	1.232930e-003
1.100000e+001	1.263480e-003
1.133333e+001	1.291510e-003
1.166667e+001	1.317020e-003
1.200000e+001	1.342730e-003
1.233333e+001	1.375010e-003
1.266667e+001	1.403730e-003
1.300000e+001	1.433490e-003
1.333333e+001	1.461630e-003
1.366667e+001	1.491830e-003
1.400000e+001	1.519740e-003
1.433333e+001	1.550100e-003
1.466667e+001	1.584580e-003
1.500000e+001	1.616480e-003
1.533333e+001	1.648070e-003
1.566667e+001	1.681530e-003
1.600000e+001	1.710740e-003
1.633333e+001	1.738010e-003
1.666667e+001	1.767710e-003
1.700000e+001	1.801930e-003
1.733333e+001	1.832670e-003
1.766667e+001	1.861260e-003
1.800000e+001	1.893520e-003
1.833333e+001	1.921930e-003
1.866667e+001	1.950530e-003
1.900000e+001	1.984560e-003
1.933333e+001	2.021130e-003
1.966667e+001	2.053480e-003
2.000000e+001	2.089790e-003
2.033333e+001	2.123400e-003
2.066667e+001	2.153160e-003
2.100000e+001	2.183050e-003
2.133333e+001	2.220180e-003
2.166667e+001	2.258060e-003
2.200000e+001	2.290180e-003
2.233333e+001	2.327500e-003
2.266667e+001	2.358660e-003
2.300000e+001	2.388210e-003
2.333333e+001	2.426650e-003
2.366667e+001	2.463370e-003
2.400000e+001	2.497510e-003
2.433333e+001	2.535950e-003
2.466667e+001	2.570070e-003
2.500000e+001	2.601410e-003
2.533333e+001	2.631780e-003
2.566667e+001	2.669990e-003
2.600000e+001	2.705690e-003
2.633333e+001	2.736710e-003
2.666667e+001	2.772450e-003
2.700000e+001	2.801200e-003
2.733333e+001	2.828770e-003
2.766667e+001	2.863690e-003
2.800000e+001	2.903350e-003
2.833333e+001	2.935380e-003
2.866667e+001	2.970770e-003
2.900000e+001	3.003200e-003
2.933333e+001	3.026830e-003
2.966667e+001	3.057170e-003
3.000000e+001	3.096530e-003
3.033333e+001	3.130130e-003
3.066667e+001	3.158850e-003
3.100000e+001	3.191810e-003
3.133333e+001	3.216720e-003
3.166667e+001	3.243680e-003
3.200000e+001	3.279080e-003
3.233333e+001	3.316180e-003
3.266667e+001	3.347470e-003
3.300000e+001	3.381980e-003
3.333333e+001	3.414880e-003
3.366667e+001	3.440570e-003
3.400000e+001	3.465130e-003
3.433333e+001	3.499530e-003
3.466667e+001	3.535630e-003
3.500000e+001	3.564340e-003
3.533333e+001	3.600970e-003
3.566667e+001	3.628000e-003
3.600000e+001	3.649800e-003
3.633333e+001	3.683090e-003
3.666667e+001	3.721490e-003
3.700000e+001	3.751490e-003
3.733333e+001	3.784880e-003
3.766667e+001	3.816470e-003
3.800000e+001	3.839820e-003
3.833333e+001	3.861090e-003
3.866667e+001	3.894450e-003
3.900000e+001	3.933680e-003
3.933333e+001	3.957540e-003
3.966667e+001	3.991450e-003
4.000000e+001	4.018210e-003
4.033333e+001	4.037790e-003
4.066667e+001	4.064060e-003
4.100000e+001	4.102810e-003
4.133333e+001	4.135570e-003
4.166667e+001	4.166080e-003
4.200000e+001	4.199470e-003
4.233333e+001	4.226330e-003
4.266667e+001	4.246450e-003
4.300000e+001	4.274750e-003
4.333333e+001	4.314590e-003
4.366667e+001	4.343020e-003
4.400000e+001	4.377450e-003
4.433333e+001	4.407530e-003
4.466667e+001	4.427580e-003
4.500000e+001	4.445090e-003
4.533333e+001	4.490080e-003
4.566667e+001	4.520260e-003
4.600000e+001	4.553090e-003
4.633333e+001	4.583260e-003
4.666667e+001	4.617640e-003
4.700000e+001	4.637400e-003
4.733333e+001	4.657660e-003
4.766667e+001	4.689890e-003
4.800000e+001	4.723770e-003
4.833333e+001	4.753650e-003
4.866667e+001	4.790030e-003
4.900000e+001	4.812000e-003
4.933333e+001	4.831940e-003
4.966667e+001	4.857350e-003
5.000000e+001	4.894330e-003
5.033333e+001	4.926620e-003
5.066667e+001	4.956500e-003
5.100000e+001	4.989230e-003
5.133333e+001	5.007710e-003
5.166667e+001	5.025710e-003
5.200000e+001	5.059310e-003
5.233333e+001	5.089650e-003
5.266667e+001	5.119110e-003
5.300000e+001	5.151930e-003
5.333333e+001	5.175700e-003
5.366667e+001	5.190590e-003
5.400000e+001	5.216070e-003
5.433333e+001	5.258580e-003
5.466667e+001	5.285990e-003
5.500000e+001	5.313380e-003
5.533333e+001	5.345910e-003
5.566667e+001	5.367240e-003
5.600000e+001	5.383440e-003
5.633333e+001	5.410650e-003
5.666667e+001	5.442920e-003
5.700000e+001	5.467090e-003
5.733333e+001	5.499770e-003
5.766667e+001	5.522840e-003
5.800000e+001	5.535130e-003
5.833333e+001	5.554300e-003
5.866667e+001	5.593220e-003
5.900000e+001	5.618000e-003
5.933333e+001	5.642210e-003
5.966667e+001	5.670120e-003
6.000000e+001	5.686180e-003
6.000000e+001	5.660490e-003
6.000000e+001	5.638980e-003
6.000000e+001	5.630330e-003
6.000000e+001	5.612110e-003
6.000000e+001	5.597760e-003
6.000000e+001	5.574220e-003
6.000000e+001	5.563150e-003
6.000000e+001	5.537280e-003
6.000000e+001	5.511440e-003
6.000000e+001	5.515620e-003
6.000000e+001	5.504850e-003
6.000000e+001	5.496920e-003
6.000000e+001	5.485960e-003
6.000000e+001	5.456080e-003
6.000000e+001	5.434400e-003
6.000000e+001	5.429450e-003
6.000000e+001	5.420920e-003
6.000000e+001	5.408770e-003
6.000000e+001	5.402650e-003
6.000000e+001	5.388010e-003
6.000000e+001	5.363880e-003
6.000000e+001	5.350550e-003
6.000000e+001	5.350180e-003
6.000000e+001	5.342880e-003
6.000000e+001	5.333050e-003
6.000000e+001	5.328800e-003
6.000000e+001	5.313720e-003
6.000000e+001	5.295430e-003
6.000000e+001	5.288970e-003
6.000000e+001	5.292210e-003
6.000000e+001	5.285580e-003
6.000000e+001	5.279000e-003
6.000000e+001	5.271530e-003
6.000000e+001	5.254600e-003
6.000000e+001	5.238670e-003
6.000000e+001	5.236130e-003
6.000000e+001	5.237870e-003
6.000000e+001	5.231880e-003
6.000000e+001	5.230420e-003
6.000000e+001	5.228530e-003
6.000000e+001	5.214540e-003
6.000000e+001	5.201460e-003
6.000000e+001	5.208340e-003
6.000000e+001	5.209250e-003
6.000000e+001	5.211150e-003
6.000000e+001	5.214470e-003
6.000000e+001	5.206270e-003
6.000000e+001	5.189970e-003
6.000000e+001	5.184700e-003
6.000000e+001	5.194420e-003
6.000000e+001	5.192260e-003
6.000000e+001	5.193610e-003
6.000000e+001	5.196430e-003
6.000000e+001	5.184160e-003
6.000000e+001	5.170310e-003
6.000000e+001	5.176000e-003
6.000000e+001	5.177370e-003
6.000000e+001	5.177700e-003
6.000000e+001	5.179790e-003
6.000000e+001	5.177000e-003
6.000000e+001	5.164050e-003
6.000000e+001	5.154930e-003
6.000000e+001	5.163690e-003
6.000000e+001	5.167590e-003
6.000000e+001	5.165020e-003
6.000000e+001	5.168040e-003
6.000000e+001	5.163690e-003
6.000000e+001	5.147180e-003
6.000000e+001	5.145310e-003
6.000000e+001	5.153750e-003
6.000000e+001	5.151000e-003
6.000000e+001	5.151870e-003
6.000000e+001	5.151340e-003
6.000000e+001	5.138730e-003
6.000000e+001	5.126070e-003
6.000000e+001	5.127440e-003
6.000000e+001	5.134950e-003
6.000000e+001	5.129620e-003
6.000000e+001	5.128650e-003
6.000000e+001	5.129300e-003
6.000000e+001	5.110310e-003
6.000000e+001	5.100640e-003
6.000000e+001	5.097080e-003
6.000000e+001	5.100980e-003
6.000000e+001	5.105100e-003
6.000000e+001	5.111820e-003
6.000000e+001	5.108380e-003
6.000000e+001	5.097550e-003
6.000000e+001	5.088200e-003
6.000000e+001	5.094830e-003
6.000000e+001	5.098170e-003
6.000000e+001	5.096110e-003
6.000000e+001	5.098310e-003
6.000000e+001	5.087740e-003
6.000000e+001	5.073960e-003
6.000000e+001	5.073420e-003
6.000000e+001	5.080720e-003
6.000000e+001	5.078380e-003
6.000000e+001	5.078660e-003
6.000000e+001	5.077080e-003
6.000000e+001	5.067410e-003
6.000000e+001	5.055920e-003
6.000000e+001	5.064970e-003
6.000000e+001	5.066090e-003
6.000000e+001	5.064200e-003
6.000000e+001	5.063500e-003
6.000000e+001	5.055880e-003
6.000000e+001	5.046110e-003
6.000000e+001	5.040460e-003
6.000000e+001	5.050430e-003
6.000000e+001	5.048670e-003
6.000000e+001	5.045950e-003
6.000000e+001	5.049990e-003
6.000000e+001	5.040220e-003
6.000000e+001	5.030850e-003
6.000000e+001	5.030320e-003
6.000000e+001	5.040040e-003
6.000000e+001	5.039090e-003
6.000000e+001	5.038360e-003
6.000000e+001	5.039130e-003
6.000000e+001	5.030220e-003
6.000000e+001	5.022230e-003
6.000000e+001	5.026690e-003
6.000000e+001	5.027980e-003
6.000000e+001	5.025760e-003
6.000000e+001	5.028330e-003
6.000000e+001	5.027070e-003
6.000000e+001	5.015390e-003
6.000000e+001	5.010420e-003
6.000000e+001	5.016080e-003
6.000000e+001	5.018370e-003
6.000000e+001	5.015830e-003
6.000000e+001	5.020270e-003
6.000000e+001	5.013250e-003
6.000000e+001	5.001180e-003
6.000000e+001	5.006530e-003
6.000000e+001	5.014960e-003
6.000000e+001	5.007570e-003
6.000000e+001	5.016910e-003
6.000000e+001	5.020970e-003
6.000000e+001	5.014580e-003
6.000000e+001	5.007870e-003
6.000000e+001	5.010650e-003
6.000000e+001	5.017260e-003
6.000000e+001	5.019570e-003
6.000000e+001	5.026170e-003
6.000000e+001	5.015250e-003
6.000000e+001	5.009250e-003
6.000000e+001	5.008940e-003
6.000000e+001	5.018360e-003
6.000000e+001	5.018140e-003
6.000000e+001	4.996670e-003
6.000000e+001	5.019870e-003
6.000000e+001	5.014860e-003
6.000000e+001	5.005620e-003
6.000000e+001	5.007380e-003
6.000000e+001	5.016560e-003
6.000000e+001	5.016040e-003
6.000000e+001	5.017890e-003
6.000000e+001	5.015480e-003
6.000000e+001	5.002600e-003
6.000000e+001	5.001380e-003
6.000000e+001	5.006510e-003
6.000000e+001	5.009730e-003
6.000000e+001	5.005170e-003
6.000000e+001	5.017390e-003
6.000000e+001	5.015930e-003
6.000000e+001	5.009000e-003
6.000000e+001	5.002210e-003
6.000000e+001	5.007950e-003
6.000000e+001	5.012300e-003
6.000000e+001	5.015610e-003
6.000000e+001	5.018860e-003
6.000000e+001	5.011400e-003
6.000000e+001	5.001330e-003
6.000000e+001	5.004550e-003
6.000000e+001	5.010850e-003
6.000000e+001	5.010320e-003
6.000000e+001	5.012810e-003
6.000000e+001	5.014900e-003
6.000000e+001	5.006110e-003
6.000000e+001	4.998950e-003
6.000000e+001	4.999910e-003
6.000000e+001	5.008550e-003
6.000000e+001	5.003830e-003
6.000000e+001	5.008810e-003
6.000000e+001	5.006460e-003
6.000000e+001	4.999790e-003
6.000000e+001	4.995170e-003
6.000000e+001	5.002880e-003
6.000000e+001	5.003700e-003
6.000000e+001	5.007080e-003
6.000000e+001	5.011060e-003
6.000000e+001	5.001690e-003
6.000000e+001	4.994400e-003
6.000000e+001	4.998810e-003
6.000000e+001	5.002230e-003
6.000000e+001	5.005240e-003
6.000000e+001	5.004340e-003
6.000000e+001	5.001990e-003
6.000000e+001	4.992930e-003
6.000000e+001	4.990370e-003
6.000000e+001	5.002660e-003
6.000000e+001	5.000390e-003
6.000000e+001	5.000720e-003
6.000000e+001	5.007240e-003
6.000000e+001	5.001610e-003
6.000000e+001	4.993750e-003
6.000000e+001	4.993580e-003
6.000000e+001	4.998410e-003
6.000000e+001	4.996220e-003
6.000000e+001	4.999290e-003
6.000000e+001	4.996390e-003
6.000000e+001	4.985750e-003
6.000000e+001	4.980870e-003
6.000000e+001	4.986200e-003
6.000000e+001	4.986730e-003
6.000000e+001	4.987190e-003
6.000000e+001	4.991870e-003
6.000000e+001	4.986090e-003
6.000000e+001	4.979780e-003
6.000000e+001	4.977330e-003
6.000000e+001	4.987850e-003
6.000000e+001	4.985060e-003
6.000000e+001	4.986150e-003
6.000000e+001	4.983940e-003
6.000000e+001	4.979310e-003
6.000000e+001	4.975870e-003
6.000000e+001	4.980040e-003
