"Anodizado"
"Fecha: 10-Jan-2014 10:20:27"
""
"0.000000e+000	4.502910e-005"
"3.333333e-001	6.959880e-005"
"6.666667e-001	9.509730e-005"
"1.000000e+000	1.208080e-004"
"1.333333e+000	1.464010e-004"
"1.666667e+000	1.729800e-004"
"2.000000e+000	1.995510e-004"
"2.333333e+000	2.251360e-004"
"2.666667e+000	2.500700e-004"
"3.000000e+000	2.752270e-004"
"3.333333e+000	2.982860e-004"
"3.666667e+000	3.194900e-004"
"4.000000e+000	3.449530e-004"
"4.333333e+000	3.672060e-004"
"4.666667e+000	3.887980e-004"
"5.000000e+000	4.110880e-004"
"5.333333e+000	4.347040e-004"
"5.666667e+000	4.563420e-004"
"6.000000e+000	4.835200e-004"
"6.333333e+000	5.083000e-004"
"6.666667e+000	5.306930e-004"
"7.000000e+000	5.545650e-004"
"7.333333e+000	5.781090e-004"
"7.666667e+000	5.997210e-004"
"8.000000e+000	6.218280e-004"
"8.333333e+000	6.516150e-004"
"8.666667e+000	6.737670e-004"
"9.000000e+000	6.953050e-004"
"9.333333e+000	7.170750e-004"
"9.666667e+000	7.382150e-004"
"1.000000e+001	7.549590e-004"
"1.033333e+001	7.817310e-004"
"1.066667e+001	8.057770e-004"
"1.100000e+001	8.251570e-004"
"1.133333e+001	8.440390e-004"
"1.166667e+001	8.631700e-004"
"1.200000e+001	8.784450e-004"
"1.233333e+001	8.969100e-004"
"1.266667e+001	9.211020e-004"
"1.300000e+001	9.355860e-004"
"1.333333e+001	9.472040e-004"
"1.366667e+001	9.641430e-004"
"1.400000e+001	9.744450e-004"
"1.433333e+001	9.864210e-004"
"1.466667e+001	1.011730e-003"
"1.500000e+001	1.023870e-003"
"1.533333e+001	1.038400e-003"
"1.566667e+001	1.053150e-003"
"1.600000e+001	1.070560e-003"
"1.633333e+001	1.076790e-003"
"1.666667e+001	1.090390e-003"
"1.700000e+001	1.119330e-003"
"1.733333e+001	1.134010e-003"
"1.766667e+001	1.147660e-003"
"1.800000e+001	1.163400e-003"
"1.833333e+001	1.181560e-003"
"1.866667e+001	1.193710e-003"
"1.900000e+001	1.223930e-003"
"1.933333e+001	1.247170e-003"
"1.966667e+001	1.264350e-003"
"2.000000e+001	1.283920e-003"
"2.033333e+001	1.304660e-003"
"2.066667e+001	1.324570e-003"
"2.100000e+001	1.341960e-003"
"2.133333e+001	1.371430e-003"
"2.166667e+001	1.401730e-003"
"2.200000e+001	1.423000e-003"
"2.233333e+001	1.446040e-003"
"2.266667e+001	1.469960e-003"
"2.300000e+001	1.485120e-003"
"2.333333e+001	1.509120e-003"
"2.366667e+001	1.554200e-003"
"2.400000e+001	1.576870e-003"
"2.433333e+001	1.599980e-003"
"2.466667e+001	1.623960e-003"
"2.500000e+001	1.649670e-003"
"2.533333e+001	1.667840e-003"
"2.566667e+001	1.689440e-003"
"2.600000e+001	1.732180e-003"
"2.633333e+001	1.757020e-003"
"2.666667e+001	1.782980e-003"
"2.700000e+001	1.804500e-003"
"2.733333e+001	1.824670e-003"
"2.766667e+001	1.840440e-003"
"2.800000e+001	1.890960e-003"
"2.833333e+001	1.917950e-003"
"2.866667e+001	1.936440e-003"
"2.900000e+001	1.959030e-003"
"2.933333e+001	1.981690e-003"
"2.966667e+001	1.998130e-003"
"3.000000e+001	2.026930e-003"
"3.033333e+001	2.064240e-003"
"3.066667e+001	2.085580e-003"
"3.100000e+001	2.107400e-003"
"3.133333e+001	2.130670e-003"
"3.166667e+001	2.141640e-003"
"3.200000e+001	2.157460e-003"
"3.233333e+001	2.209050e-003"
"3.266667e+001	2.233500e-003"
"3.300000e+001	2.253260e-003"
"3.333333e+001	2.273240e-003"
"3.366667e+001	2.293830e-003"
"3.400000e+001	2.307570e-003"
"3.433333e+001	2.328880e-003"
"3.466667e+001	2.374240e-003"
"3.500000e+001	2.393820e-003"
"3.533333e+001	2.412980e-003"
"3.566667e+001	2.435660e-003"
"3.600000e+001	2.449510e-003"
"3.633333e+001	2.454760e-003"
"3.666667e+001	2.499690e-003"
"3.700000e+001	2.530980e-003"
"3.733333e+001	2.550490e-003"
"3.766667e+001	2.566930e-003"
"3.800000e+001	2.584930e-003"
"3.833333e+001	2.608690e-003"
"3.866667e+001	2.607780e-003"
"3.900000e+001	2.655930e-003"
"3.933333e+001	2.683920e-003"
"3.966667e+001	2.699510e-003"
"4.000000e+001	2.719600e-003"
"4.033333e+001	2.737530e-003"
"4.066667e+001	2.729240e-003"
"4.100000e+001	2.765620e-003"
"4.133333e+001	2.814250e-003"
"4.166667e+001	2.835950e-003"
"4.200000e+001	2.845330e-003"
"4.233333e+001	2.863090e-003"
"4.266667e+001	2.883220e-003"
"4.300000e+001	2.890380e-003"
"4.333333e+001	2.912010e-003"
"4.366667e+001	2.953240e-003"
"4.400000e+001	2.974030e-003"
"4.433333e+001	2.992010e-003"
"4.466667e+001	3.013510e-003"
"4.500000e+001	3.027640e-003"
"4.533333e+001	3.018260e-003"
"4.566667e+001	3.069750e-003"
"4.600000e+001	3.106450e-003"
"4.633333e+001	3.118570e-003"
"4.666667e+001	3.139220e-003"
"4.700000e+001	3.156050e-003"
"4.733333e+001	3.173160e-003"
"4.766667e+001	3.175700e-003"
"4.800000e+001	3.232620e-003"
"4.833333e+001	3.252000e-003"
"4.866667e+001	3.268220e-003"
"4.900000e+001	3.292760e-003"
"4.933333e+001	3.308700e-003"
"4.966667e+001	3.295020e-003"
"5.000000e+001	3.332210e-003"
"5.033333e+001	3.388090e-003"
"5.066667e+001	3.411170e-003"
"5.100000e+001	3.420130e-003"
"5.133333e+001	3.438110e-003"
"5.166667e+001	3.461900e-003"
"5.200000e+001	3.450920e-003"
"5.233333e+001	3.508360e-003"
"5.266667e+001	3.537260e-003"
"5.300000e+001	3.551510e-003"
"5.333333e+001	3.574100e-003"
"5.366667e+001	3.593680e-003"
"5.400000e+001	3.588130e-003"
"5.433333e+001	3.610720e-003"
"5.466667e+001	3.671020e-003"
"5.500000e+001	3.697090e-003"
"5.533333e+001	3.702650e-003"
"5.566667e+001	3.719930e-003"
"5.600000e+001	3.741540e-003"
"5.633333e+001	3.741790e-003"
"5.666667e+001	3.806920e-003"
"5.700000e+001	3.824650e-003"
"5.733333e+001	3.842090e-003"
"5.766667e+001	3.857760e-003"
"5.800000e+001	3.881220e-003"
"5.833333e+001	3.882700e-003"
"5.866667e+001	3.882550e-003"
"5.900000e+001	3.952630e-003"
"5.933333e+001	3.977940e-003"
"5.966667e+001	4.005470e-003"
"6.000000e+001	4.013770e-003"
"6.000000e+001	4.002920e-003"
"6.000000e+001	3.987200e-003"
"6.000000e+001	3.967680e-003"
"6.000000e+001	4.008770e-003"
"6.000000e+001	3.994770e-003"
"6.000000e+001	3.987630e-003"
"6.000000e+001	3.982710e-003"
"6.000000e+001	3.978850e-003"
"6.000000e+001	3.946030e-003"
"6.000000e+001	3.969300e-003"
"6.000000e+001	3.982770e-003"
"6.000000e+001	3.992590e-003"
"6.000000e+001	3.974580e-003"
"6.000000e+001	3.968390e-003"
"6.000000e+001	3.952390e-003"
"6.000000e+001	3.929820e-003"
"6.000000e+001	3.988670e-003"
"6.000000e+001	3.974360e-003"
"6.000000e+001	3.970840e-003"
"6.000000e+001	3.967450e-003"
"6.000000e+001	3.965770e-003"
"6.000000e+001	3.942030e-003"
"6.000000e+001	3.915410e-003"
"6.000000e+001	3.967130e-003"
"6.000000e+001	3.966910e-003"
"6.000000e+001	3.967620e-003"
"6.000000e+001	3.955560e-003"
"6.000000e+001	3.950840e-003"
"6.000000e+001	3.924140e-003"
"6.000000e+001	3.927750e-003"
"6.000000e+001	3.968960e-003"
"6.000000e+001	3.958590e-003"
"6.000000e+001	3.950490e-003"
"6.000000e+001	3.952840e-003"
"6.000000e+001	3.935850e-003"
"6.000000e+001	3.909590e-003"
"6.000000e+001	3.929400e-003"
"6.000000e+001	3.949580e-003"
"6.000000e+001	3.957160e-003"
"6.000000e+001	3.939690e-003"
"6.000000e+001	3.933240e-003"
"6.000000e+001	3.912770e-003"
"6.000000e+001	3.898430e-003"
"6.000000e+001	3.952350e-003"
"6.000000e+001	3.939520e-003"
"6.000000e+001	3.935900e-003"
"6.000000e+001	3.929910e-003"
"6.000000e+001	3.934260e-003"
"6.000000e+001	3.895940e-003"
"6.000000e+001	3.892020e-003"
"6.000000e+001	3.946780e-003"
"6.000000e+001	3.942750e-003"
"6.000000e+001	3.936590e-003"
"6.000000e+001	3.922650e-003"
"6.000000e+001	3.902420e-003"
"6.000000e+001	3.884160e-003"
"6.000000e+001	3.943340e-003"
"6.000000e+001	3.925010e-003"
"6.000000e+001	3.921530e-003"
"6.000000e+001	3.911940e-003"
"6.000000e+001	3.917390e-003"
"6.000000e+001	3.878520e-003"
"6.000000e+001	3.881970e-003"
"6.000000e+001	3.919290e-003"
"6.000000e+001	3.911290e-003"
"6.000000e+001	3.911920e-003"
"6.000000e+001	3.898730e-003"
"6.000000e+001	3.887470e-003"
"6.000000e+001	3.864830e-003"
"6.000000e+001	3.896790e-003"
"6.000000e+001	3.914700e-003"
"6.000000e+001	3.899920e-003"
"6.000000e+001	3.898010e-003"
"6.000000e+001	3.894810e-003"
"6.000000e+001	3.875510e-003"
"6.000000e+001	3.858000e-003"
"6.000000e+001	3.889370e-003"
"6.000000e+001	3.900920e-003"
"6.000000e+001	3.900320e-003"
"6.000000e+001	3.895900e-003"
"6.000000e+001	3.891850e-003"
"6.000000e+001	3.855130e-003"
"6.000000e+001	3.860860e-003"
"6.000000e+001	3.906010e-003"
"6.000000e+001	3.888690e-003"
"6.000000e+001	3.888460e-003"
"6.000000e+001	3.882140e-003"
"6.000000e+001	3.884390e-003"
"6.000000e+001	3.846920e-003"
"6.000000e+001	3.862650e-003"
"6.000000e+001	3.891370e-003"
"6.000000e+001	3.888620e-003"
"6.000000e+001	3.887290e-003"
"6.000000e+001	3.871060e-003"
"6.000000e+001	3.844160e-003"
"6.000000e+001	3.839880e-003"
"6.000000e+001	3.889630e-003"
"6.000000e+001	3.881310e-003"
"6.000000e+001	3.879520e-003"
"6.000000e+001	3.873710e-003"
"6.000000e+001	3.879360e-003"
"6.000000e+001	3.842290e-003"
"6.000000e+001	3.838720e-003"
"6.000000e+001	3.884760e-003"
"6.000000e+001	3.878370e-003"
"6.000000e+001	3.880450e-003"
"6.000000e+001	3.864200e-003"
"6.000000e+001	3.850380e-003"
"6.000000e+001	3.829210e-003"
"6.000000e+001	3.863890e-003"
"6.000000e+001	3.880730e-003"
"6.000000e+001	3.868770e-003"
"6.000000e+001	3.868890e-003"
"6.000000e+001	3.862510e-003"
"6.000000e+001	3.846920e-003"
"6.000000e+001	3.844530e-003"
"6.000000e+001	3.864580e-003"
"6.000000e+001	3.857150e-003"
"6.000000e+001	3.855340e-003"
"6.000000e+001	3.846990e-003"
"6.000000e+001	3.806810e-003"
"6.000000e+001	3.823660e-003"
"6.000000e+001	3.858980e-003"
"6.000000e+001	3.861920e-003"
"6.000000e+001	3.846970e-003"
"6.000000e+001	3.840840e-003"
"6.000000e+001	3.837950e-003"
"6.000000e+001	3.807380e-003"
"6.000000e+001	3.823090e-003"
"6.000000e+001	3.851470e-003"
"6.000000e+001	3.850300e-003"
"6.000000e+001	3.844820e-003"
"6.000000e+001	3.840170e-003"
"6.000000e+001	3.813740e-003"
"6.000000e+001	3.793040e-003"
"6.000000e+001	3.843650e-003"
"6.000000e+001	3.849950e-003"
"6.000000e+001	3.844010e-003"
"6.000000e+001	3.837860e-003"
"6.000000e+001	3.831700e-003"
"6.000000e+001	3.813770e-003"
"6.000000e+001	3.799720e-003"
"6.000000e+001	3.845210e-003"
"6.000000e+001	3.841810e-003"
"6.000000e+001	3.834870e-003"
"6.000000e+001	3.835520e-003"
"6.000000e+001	3.818460e-003"
"6.000000e+001	3.785890e-003"
"6.000000e+001	3.816260e-003"
"6.000000e+001	3.830980e-003"
"6.000000e+001	3.832900e-003"
"6.000000e+001	3.823420e-003"
"6.000000e+001	3.817270e-003"
"6.000000e+001	3.806420e-003"
"6.000000e+001	3.793490e-003"
"6.000000e+001	3.840710e-003"
"6.000000e+001	3.829610e-003"
"6.000000e+001	3.821150e-003"
"6.000000e+001	3.821190e-003"
"6.000000e+001	3.802690e-003"
"6.000000e+001	3.774080e-003"
"6.000000e+001	3.830030e-003"
"6.000000e+001	3.830420e-003"
"6.000000e+001	3.819630e-003"
"6.000000e+001	3.813830e-003"
"6.000000e+001	3.809040e-003"
"6.000000e+001	3.786540e-003"
"6.000000e+001	3.804230e-003"
"6.000000e+001	3.814200e-003"
"6.000000e+001	3.814620e-003"
"6.000000e+001	3.809240e-003"
"6.000000e+001	3.805990e-003"
"6.000000e+001	3.794230e-003"
"6.000000e+001	3.755810e-003"
"6.000000e+001	3.797450e-003"
"6.000000e+001	3.806810e-003"
"6.000000e+001	3.808380e-003"
"6.000000e+001	3.802560e-003"
"6.000000e+001	3.796310e-003"
"6.000000e+001	3.787670e-003"
"6.000000e+001	3.759380e-003"
"6.000000e+001	3.797630e-003"
"6.000000e+001	3.808930e-003"
"6.000000e+001	3.802050e-003"
"6.000000e+001	3.801910e-003"
"6.000000e+001	3.793320e-003"
"6.000000e+001	3.754760e-003"
"6.000000e+001	3.768240e-003"
"6.000000e+001	3.805630e-003"
"6.000000e+001	3.802430e-003"
"6.000000e+001	3.798010e-003"
"6.000000e+001	3.794160e-003"
"6.000000e+001	3.796860e-003"
"6.000000e+001	3.763760e-003"
"6.000000e+001	3.761250e-003"
"6.000000e+001	3.799200e-003"
"6.000000e+001	3.795330e-003"
"6.000000e+001	3.798470e-003"
"6.000000e+001	3.786680e-003"
"6.000000e+001	3.775840e-003"
"6.000000e+001	3.750650e-003"
"6.000000e+001	3.782820e-003"
"6.000000e+001	3.799510e-003"
"6.000000e+001	3.788460e-003"
"6.000000e+001	3.789850e-003"
"6.000000e+001	3.786220e-003"
"6.000000e+001	3.771420e-003"
"6.000000e+001	3.752620e-003"
"6.000000e+001	3.782000e-003"
"6.000000e+001	3.790200e-003"
"6.000000e+001	3.794710e-003"
"6.000000e+001	3.783290e-003"
"6.000000e+001	3.785800e-003"
"6.000000e+001	3.751540e-003"
"6.000000e+001	3.765970e-003"
"6.000000e+001	3.800810e-003"
"6.000000e+001	3.786260e-003"
"6.000000e+001	3.788730e-003"
"6.000000e+001	3.787180e-003"
"6.000000e+001	3.782250e-003"
"6.000000e+001	3.746610e-003"
"6.000000e+001	3.767360e-003"
"6.000000e+001	3.785630e-003"
"6.000000e+001	3.789590e-003"
"6.000000e+001	3.780850e-003"
"6.000000e+001	3.777840e-003"
"6.000000e+001	3.749780e-003"
"6.000000e+001	3.743370e-003"
"6.000000e+001	3.790000e-003"
"6.000000e+001	3.780850e-003"
"6.000000e+001	3.781740e-003"
"6.000000e+001	3.779830e-003"
"6.000000e+001	3.778640e-003"
"6.000000e+001	3.740990e-003"
"6.000000e+001	3.744600e-003"
"6.000000e+001	3.781990e-003"
"6.000000e+001	3.776550e-003"
"6.000000e+001	3.776890e-003"
"6.000000e+001	3.769790e-003"
"6.000000e+001	3.766170e-003"
"6.000000e+001	3.722610e-003"
"6.000000e+001	3.746850e-003"
"6.000000e+001	3.776460e-003"
"6.000000e+001	3.774680e-003"
"6.000000e+001	3.771500e-003"
"6.000000e+001	3.763180e-003"
"6.000000e+001	3.762930e-003"
"6.000000e+001	3.723590e-003"
"6.000000e+001	3.735950e-003"
"6.000000e+001	3.770530e-003"
"6.000000e+001	3.771460e-003"
"6.000000e+001	3.762770e-003"
"6.000000e+001	3.759310e-003"
"6.000000e+001	3.756200e-003"
"6.000000e+001	3.726140e-003"
"6.000000e+001	3.739260e-003"
"6.000000e+001	3.768120e-003"
"6.000000e+001	3.756750e-003"
"6.000000e+001	3.758130e-003"
"6.000000e+001	3.754460e-003"
"6.000000e+001	3.752680e-003"
"6.000000e+001	3.724590e-003"
"6.000000e+001	3.746540e-003"
"6.000000e+001	3.752060e-003"
"6.000000e+001	3.753980e-003"
"6.000000e+001	3.752250e-003"
"6.000000e+001	3.752790e-003"
"6.000000e+001	3.750010e-003"
"6.000000e+001	3.710920e-003"
"6.000000e+001	3.735470e-003"
"6.000000e+001	3.750220e-003"
"6.000000e+001	3.752440e-003"
"6.000000e+001	3.752450e-003"
"6.000000e+001	3.753560e-003"
"6.000000e+001	3.739730e-003"
"6.000000e+001	3.707040e-003"
"6.000000e+001	3.740690e-003"
"6.000000e+001	3.750370e-003"
"6.000000e+001	3.757260e-003"
"6.000000e+001	3.755570e-003"
"6.000000e+001	3.746830e-003"
"6.000000e+001	3.718810e-003"
"6.000000e+001	3.722190e-003"
"6.000000e+001	3.756300e-003"
"6.000000e+001	3.752490e-003"
"6.000000e+001	3.750860e-003"
"6.000000e+001	3.741680e-003"
"6.000000e+001	3.743270e-003"
"6.000000e+001	3.703410e-003"
"6.000000e+001	3.731400e-003"
"6.000000e+001	3.741120e-003"
"6.000000e+001	3.744690e-003"
"6.000000e+001	3.736890e-003"
"6.000000e+001	3.735550e-003"
"6.000000e+001	3.719150e-003"
"6.000000e+001	3.697490e-003"
"6.000000e+001	3.727220e-003"
"6.000000e+001	3.747330e-003"
"6.000000e+001	3.740660e-003"
"6.000000e+001	3.740790e-003"
"6.000000e+001	3.737230e-003"
"6.000000e+001	3.720930e-003"
"6.000000e+001	3.718750e-003"
"6.000000e+001	3.743040e-003"
"6.000000e+001	3.731690e-003"
"6.000000e+001	3.733990e-003"
"6.000000e+001	3.728320e-003"
"6.000000e+001	3.728750e-003"
"6.000000e+001	3.692880e-003"
"6.000000e+001	3.713290e-003"
"6.000000e+001	3.733430e-003"
"6.000000e+001	3.729750e-003"
"6.000000e+001	3.730950e-003"
"6.000000e+001	3.728700e-003"
"6.000000e+001	3.710990e-003"
"6.000000e+001	3.689570e-003"
"6.000000e+001	3.721250e-003"
"6.000000e+001	3.729460e-003"
"6.000000e+001	3.726330e-003"
"6.000000e+001	3.726430e-003"
"6.000000e+001	3.726100e-003"
"6.000000e+001	3.702350e-003"
"6.000000e+001	3.681920e-003"
"6.000000e+001	3.710760e-003"
"6.000000e+001	3.718980e-003"
"6.000000e+001	3.721650e-003"
