Anodizado
Fecha: 27-Sep-2018 12:14:50
Tensión	Corriente
2.000000e+001	4.249540e-003
2.000000e+001	4.179170e-003
2.000000e+001	4.127890e-003
2.000000e+001	4.082290e-003
2.000000e+001	4.040740e-003
2.000000e+001	4.002470e-003
2.000000e+001	3.965270e-003
2.000000e+001	3.929860e-003
2.000000e+001	3.896000e-003
2.000000e+001	3.865240e-003
2.000000e+001	3.835270e-003
2.000000e+001	3.806210e-003
2.000000e+001	3.777150e-003
2.000000e+001	3.749250e-003
2.000000e+001	3.722590e-003
2.000000e+001	3.697040e-003
2.000000e+001	3.671410e-003
2.000000e+001	3.635570e-003
2.000000e+001	3.610800e-003
2.000000e+001	3.587870e-003
2.000000e+001	3.564470e-003
2.000000e+001	3.541040e-003
2.000000e+001	3.518750e-003
2.000000e+001	3.496100e-003
2.000000e+001	3.474250e-003
2.000000e+001	3.452540e-003
2.000000e+001	3.431580e-003
2.000000e+001	3.409990e-003
2.000000e+001	3.390450e-003
2.000000e+001	3.369920e-003
2.000000e+001	3.349820e-003
2.000000e+001	3.329900e-003
2.000000e+001	3.309530e-003
2.000000e+001	3.282670e-003
2.000000e+001	3.263620e-003
2.000000e+001	3.245380e-003
2.000000e+001	3.228780e-003
2.000000e+001	3.211430e-003
2.000000e+001	3.195740e-003
2.000000e+001	3.178700e-003
2.000000e+001	3.161300e-003
2.000000e+001	3.145000e-003
2.000000e+001	3.129560e-003
2.000000e+001	3.114230e-003
2.000000e+001	3.099350e-003
2.000000e+001	3.084810e-003
2.000000e+001	3.070780e-003
2.000000e+001	3.053980e-003
2.000000e+001	3.040100e-003
2.000000e+001	3.019840e-003
2.000000e+001	3.006660e-003
2.000000e+001	2.992840e-003
2.000000e+001	2.980030e-003
2.000000e+001	2.965750e-003
2.000000e+001	2.952950e-003
2.000000e+001	2.939220e-003
2.000000e+001	2.927420e-003
2.000000e+001	2.917120e-003
2.000000e+001	2.905470e-003
2.000000e+001	2.891720e-003
2.000000e+001	2.879490e-003
2.000000e+001	2.867780e-003
2.000000e+001	2.855650e-003
2.000000e+001	2.844550e-003
2.000000e+001	2.833820e-003
2.000000e+001	2.818850e-003
2.000000e+001	2.809090e-003
2.000000e+001	2.799890e-003
2.000000e+001	2.790320e-003
2.000000e+001	2.780730e-003
2.000000e+001	2.770970e-003
2.000000e+001	2.762200e-003
2.000000e+001	2.753490e-003
2.000000e+001	2.744400e-003
2.000000e+001	2.735900e-003
2.000000e+001	2.727400e-003
2.000000e+001	2.718730e-003
2.000000e+001	2.710270e-003
2.000000e+001	2.704530e-003
2.000000e+001	2.697450e-003
2.000000e+001	2.690590e-003
2.000000e+001	2.680300e-003
2.000000e+001	2.673360e-003
2.000000e+001	2.665560e-003
2.000000e+001	2.659410e-003
2.000000e+001	2.653030e-003
2.000000e+001	2.646450e-003
2.000000e+001	2.639540e-003
2.000000e+001	2.632690e-003
2.000000e+001	2.625700e-003
2.000000e+001	2.619610e-003
2.000000e+001	2.614470e-003
2.000000e+001	2.608320e-003
2.000000e+001	2.602300e-003
2.000000e+001	2.597040e-003
2.000000e+001	2.592520e-003
2.000000e+001	2.587580e-003
2.000000e+001	2.580120e-003
2.000000e+001	2.574590e-003
2.000000e+001	2.572540e-003
2.000000e+001	2.567120e-003
2.000000e+001	2.563410e-003
2.000000e+001	2.561090e-003
2.000000e+001	2.555690e-003
2.000000e+001	2.551130e-003
2.000000e+001	2.547520e-003
